# width: 200
# set_dx: 0.01
# set_courant: 0.5
# set_time: 100
k,Hy,Ez,mu_r,eps_r,sigma_m,sigma_e,ch1,ch2,ce1,ce2
34,1.0286022964118661e-15,2.4724229576858699e-13,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
35,7.5285252147545082e-15,1.8305652733495639e-12,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
36,5.1422053633784754e-14,1.2653594016858007e-11,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
37,3.2754149796019593e-13,8.1606257133692828e-11,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
38,1.9439683376793367e-12,4.9063488750063786e-10,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
39,1.073915970509993e-11,2.7471915275916718e-09,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
40,5.5154445251039841e-11,1.4308882785514049e-08,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
41,2.6296822812727989e-10,6.9233191245027666e-08,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
42,1.1620590914767489e-09,3.106911924566863e-07,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
43,4.7505610108175468e-09,1.2908206638560965e-06,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
44,1.7928249626439737e-08,4.9549421230264785e-06,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
45,6.2313937393612393e-08,1.753293763117457e-05,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
46,1.9895937574488004e-07,5.7045333539154189e-05,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
47,5.8193472093356609e-07,0.0001701985264599526,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
48,1.5548408158768052e-06,0.00046434378766281836,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
49,3.7848615245697293e-06,0.0011553037287877887,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
50,8.3773053298724554e-06,0.002615608282668512,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
51,1.6852111197838857e-05,0.0053835151952312671,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
52,3.088968617604099e-05,0.010089858610289626,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
53,5.1991192763981376e-05,0.017326288838133076,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
54,8.1563436450541444e-05,0.027614271271356985,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
55,0.00012189602178779765,0.041683086340157771,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
56,0.0001774742444243495,0.060980403443502432,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
